AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,17-3025,Environmental Engineering Technologists and Technicians,detailed,190,9.2,0.07,0.77,,,31.72,65980,3.1,21.38,24.26,29.49,39.41,47.04,44480,50460,61340,81970,97850,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,17-3026,Industrial Engineering Technologists and Technicians,detailed,470,11.3,0.176,0.37,,,38.28,79620,3,28.77,31.69,36.38,41.45,51.85,59850,65920,75660,86220,107850,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,17-3027,Mechanical Engineering Technologists and Technicians,detailed,710,23.8,0.264,1.03,,,34.88,72550,11.4,22.75,24.72,31.5,39.76,49.82,47320,51410,65520,82700,103620,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,17-3028,Calibration Technologists and Technicians,detailed,370,40.7,0.137,1.58,,,30.42,63280,8.5,21.85,24.39,26.86,36.27,45.86,45440,50740,55860,75440,95390,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other",detailed,2450,4.9,0.914,2.1,,,45.71,95070,1.6,29.47,38.04,46.81,54.34,59.16,61310,79130,97370,113030,123050,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,17-3031,Surveying and Mapping Technicians,detailed,710,12.1,0.267,0.72,,,29.38,61100,1.2,19.37,22.45,29.99,35.08,37.67,40280,46690,62380,72970,78360,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,19-1011,Animal Scientists,detailed,160,15.3,0.06,3.69,,,41.81,86960,3,25.81,28.96,36.54,49.11,70,53680,60240,76010,102150,145600,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,19-1012,Food Scientists and Technologists,detailed,650,37.3,0.241,2.6,,,52.97,110180,11.1,30.43,37.6,51.07,67.03,80.91,63290,78210,106230,139420,168290,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,19-1013,Soil and Plant Scientists,detailed,200,12.3,0.075,0.72,,,43.18,89800,7.3,21.7,26,38.99,55.64,76.36,45130,54080,81110,115730,158830,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,19-1021,Biochemists and Biophysicists,detailed,850,10.1,0.317,1.45,,,56.6,117730,12.2,27.84,35.22,49.96,62.1,94.65,57910,73260,103930,129170,196870,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,19-1022,Microbiologists,detailed,1970,19.4,0.735,5.18,,,51.9,107940,4.2,28.64,36.58,49.11,63.73,82.72,59580,76080,102150,132550,172060,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,19-1023,Zoologists and Wildlife Biologists,detailed,340,6.6,0.125,1.11,,,42.92,89270,1.3,25.77,30.55,37.78,53.74,70,53610,63540,78580,111780,145600,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,19-1029,"Biological Scientists, All Other",detailed,5940,5.2,2.22,5.51,,,52.09,108360,2.4,27.99,37.03,49.11,61.03,82.72,58220,77020,102150,126940,172060,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,19-1031,Conservation Scientists,detailed,370,12.6,0.138,0.92,,,44.02,91560,2,25.46,31.99,39.22,48.86,74.24,52960,66540,81580,101620,154420,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,19-1032,Foresters,detailed,100,10.4,0.037,0.6,,,37.36,77710,2.6,26.99,31.66,37.56,44.37,48.37,56150,65840,78120,92280,100600,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,19-1041,Epidemiologists,detailed,450,12.5,0.168,2.5,,,46.9,97550,2.3,31.72,36.11,47.08,51.59,64.78,65980,75110,97920,107300,134750,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,19-1042,"Medical Scientists, Except Epidemiologists",detailed,6030,3.4,2.252,2.5,,,52.8,109830,0.9,30.22,38.58,49.48,64.01,81.66,62860,80250,102920,133140,169850,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,19-1099,"Life Scientists, All Other",detailed,600,9,0.224,4.54,,,52.76,109730,4.2,31.27,38.57,47.09,65.1,88.22,65050,80230,97960,135410,183500,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,19-2011,Astronomers,detailed,710,3.1,0.263,19.26,,,71.35,148400,0.5,36.93,61.03,70,84.53,96.52,76810,126940,145600,175830,200760,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,19-2012,Physicists,detailed,1270,4.1,0.475,3.93,,,69.22,143970,1.9,37.78,53.64,66.41,88.22,95.78,78580,111580,138130,183500,199220,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,19-2021,Atmospheric and Space Scientists,detailed,740,3.6,0.277,4.52,,,55.93,116340,1.7,39.4,42.34,53.3,66.22,82.72,81950,88070,110870,137730,172060,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,19-2031,Chemists,detailed,3150,3.4,1.177,2.14,,,59.88,124550,1.5,30.88,42.11,59.7,76.26,88.22,64230,87590,124170,158620,183500,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,19-2032,Materials Scientists,detailed,120,9.2,0.044,0.77,,,52.35,108890,7.6,24.73,32.26,50.6,65.21,98.84,51430,67090,105260,135630,205590,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,19-2041,"Environmental Scientists and Specialists, Including Health",detailed,2050,11.1,0.767,1.44,,,42.91,89250,2.5,25.22,29.73,39.04,51.77,65.13,52450,61840,81200,107690,135470,,
